股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率,总市值,流通市值,更新时间
600280,中央商场,3.89,9.89,0.35,1499570,563898782.0,9.6,3.89,3.55,3.56,3.54,3.4,13.29,582.78,6.54,4389222325,4389222325,2025-06-12 22:15:34
688648,中邮科技,60.79,9.57,5.31,107887,646221659.0,16.67,64.75,55.5,55.5,55.48,1.08,16.31,-93.05,5.38,8267440000,4019977290,2025-06-12 22:15:34
300254,仟源医药,11.15,9.53,0.97,591997,650095320.5,12.97,11.6,10.28,10.31,10.18,2.17,26.31,66.62,10.65,2768751977,2508990784,2025-06-12 22:15:34
688166,博瑞医药,58.0,9.45,5.01,246696,1390771496.0,12.59,59.2,52.53,52.53,52.99,1.68,5.84,473.01,10.23,24520558152,24520558152,2025-06-12 22:15:34
603119,浙江荣泰,43.41,9.35,3.71,271744,1160245861.0,11.76,43.67,39.0,39.52,39.7,2.17,13.33,66.33,8.69,15790046732,8850408357,2025-06-12 22:15:34
301190,善水科技,29.6,8.9,2.42,181850,518247843.54,20.6,31.78,26.18,26.8,27.18,1.54,25.6,94.68,3.31,6353240400,2102988240,2025-06-12 22:15:34
301233,盛帮股份,53.65,8.89,4.38,42596,222933044.48,13.4,54.9,48.3,49.5,49.27,4.33,22.82,27.77,2.99,2761365500,1001567708,2025-06-12 22:15:34
300907,康平科技,30.83,8.82,2.5,135757,409590392.6,8.12,31.0,28.7,28.7,28.33,1.96,14.14,39.11,3.83,2959680000,2959680000,2025-06-12 22:15:34
301011,华立科技,35.15,8.82,2.85,237758,801314601.57,14.61,36.11,31.39,31.86,32.3,1.79,17.19,112.78,7.04,5156223800,4861508203,2025-06-12 22:15:34
301080,百普赛斯,59.8,8.79,4.83,53342,311569796.36,11.1,60.88,54.78,55.2,54.97,2.51,5.89,44.21,2.74,7176000000,5417053444,2025-06-12 22:15:34
001400,江顺科技,62.95,8.76,5.07,59639,365318092.22,11.07,63.5,57.09,57.9,57.88,4.25,39.76,28.19,3.04,3777000000,944250000,2025-06-12 22:15:34
002345,潮宏基,15.91,8.6,1.26,674047,1040601056.45,10.44,16.12,14.59,14.73,14.65,0.87,7.77,18.71,4.04,14136237168,13794039447,2025-06-12 22:15:34
300619,金银河,26.02,8.6,2.06,322193,800041977.87,17.82,27.0,22.73,23.26,23.96,2.06,22.53,-17.13,3.02,4527471101,3720222978,2025-06-12 22:15:34
688025,杰普特,63.51,8.56,5.01,75310,474163739.0,10.72,65.17,58.9,58.94,58.5,1.29,7.92,41.87,2.92,6036588855,6036588855,2025-06-12 22:15:34
300191,潜能恒信,19.97,8.53,1.57,258963,522687771.9,9.73,20.91,19.12,19.12,18.4,1.55,11.71,334.8,5.89,6390400000,4417264150,2025-06-12 22:15:34
688235,百济神州-U,267.4,8.0,19.8,53300,1394045484.0,8.57,268.47,247.25,247.25,247.6,1.88,4.63,-1089.27,16.34,411757831859,30765776524,2025-06-12 22:15:34
301108,洁雅股份,39.42,7.94,2.9,75257,291802424.7,14.07,41.26,36.12,36.31,36.52,1.66,16.3,78.74,1.72,3169262473,1820519708,2025-06-12 22:15:34
600120,浙江东方,6.4,7.93,0.47,3142324,1969476534.0,10.29,6.47,5.86,5.92,5.93,3.95,9.2,33.86,1.41,21858441549,21858441549,2025-06-12 22:15:34
301489,思泉新材,59.88,7.89,4.38,68031,398972472.96,9.62,60.48,55.14,55.39,55.5,1.81,14.29,68.21,4.66,4835541556,2850327042,2025-06-12 22:15:34
301617,博苑股份,39.7,7.7,2.84,77307,300189337.39,9.09,39.83,36.48,36.58,36.86,2.55,23.14,27.03,3.25,5305508000,1326377000,2025-06-12 22:15:34
